transaction_id,date,customer_id,payment_method,card_provider,amount,status,merchant_category,country,currency,card_last_4
TXN100134,8/12/2025,CUST7797,Wallet,,500000,Pending,E-commerce,Uganda,UGX,
TXN100135,8/7/2015,CUST7142,Bank Transfer,,156153,Success,E-commerce,Nigeria,NGN,
TXN100136,7/8/2017,CUST3392,POS,,292581,Success,Professional Services,Nigeria,NGN,
TXN100137,7/17/2016,CUST8685,POS,,485634,Failed,Professional Services,Nigeria,NGN,
TXN100138,1/12/2020,CUST9782,POS,Visa,180789,Success,Transportation,Ghana,GHS,6971
TXN100139,3/9/2015,CUST8032,USSD,,500000,Failed,Food Delivery,Ghana,GHS,
TXN100140,1/7/2015,CUST6850,Card,Mastercard,500000,Success,E-commerce,Ghana,GHS,7065
TXN100141,11/4/2023,CUST4268,Card,Verve,116024,Success,E-commerce,Nigeria,NGN,2170
TXN100142,12/7/2024,CUST8756,POS,,275063,Reversed,Airtime/Data,Nigeria,NGN,
TXN100143,11/3/2017,CUST1783,USSD,,143172,Success,Professional Services,Nigeria,NGN,
TXN100144,9/16/2024,CUST9937,Card,Mastercard,134099,Reversed,Bills Payment,Ghana,GHS,6169
TXN100145,4/18/2018,CUST6952,Card,Verve,15033,Success,Transportation,Nigeria,NGN,6401
TXN100146,10/2/2020,CUST8179,Wallet,,376196,Reversed,Bills Payment,South Africa,ZAR,
TXN100147,5/23/2015,CUST5566,Card,Verve,279407,Success,Retail,Nigeria,NGN,9285
TXN100148,10/19/2017,CUST8292,Card,Visa,21140,Success,Retail,Uganda,UGX,3121
TXN100149,12/26/2015,CUST2063,POS,,130650,Success,Retail,South Africa,ZAR,
TXN100150,3/2/2021,CUST3852,POS,,500000,Failed,Retail,Kenya,KES,
TXN100151,11/25/2023,CUST8842,Card,Visa,109544,Reversed,Retail,Nigeria,NGN,1146
TXN100152,11/23/2020,CUST6194,Bank Transfer,,62612,Success,Bills Payment,Nigeria,NGN,
TXN100153,3/16/2022,CUST3981,Bank Transfer,,268908,Success,Bills Payment,Nigeria,NGN,
TXN100154,8/11/2023,CUST3034,Bank Transfer,,500000,Pending,E-commerce,Uganda,UGX,
TXN100155,10/23/2020,CUST3526,Card,Mastercard,110857,Success,Airtime/Data,Nigeria,NGN,8182
TXN100156,12/2/2016,CUST1674,Wallet,,446062,Success,Professional Services,Ghana,GHS,
TXN100157,4/3/2024,CUST8933,Card,Mastercard,500000,Success,Transportation,South Africa,ZAR,4710
TXN100158,3/17/2020,CUST6231,USSD,,108533,Success,Retail,Nigeria,NGN,
TXN100159,3/27/2023,CUST7850,Card,Mastercard,500000,Reversed,Professional Services,Uganda,UGX,2104
TXN100160,10/13/2017,CUST6123,POS,,183409,Reversed,Retail,Uganda,UGX,
TXN100161,2/16/2017,CUST6055,Bank Transfer,,400201,Success,Transportation,South Africa,ZAR,
TXN100162,7/30/2020,CUST6781,POS,,401535,Reversed,Bills Payment,Nigeria,NGN,
TXN100163,7/19/2015,CUST8710,Bank Transfer,,306954,Pending,Retail,Nigeria,NGN,
TXN100164,3/16/2018,CUST6992,Wallet,,37851,Success,Food Delivery,Kenya,KES,
TXN100165,7/26/2023,CUST7114,Card,Visa,500000,Reversed,Transportation,Nigeria,NGN,9912
TXN100166,11/30/2023,CUST4261,USSD,,154724,Success,Bills Payment,Uganda,UGX,
TXN100167,10/3/2021,CUST6456,USSD,,82572,Success,Bills Payment,Kenya,KES,
TXN100168,1/7/2024,CUST3290,Bank Transfer,,16651,Success,Airtime/Data,Kenya,KES,
TXN100169,9/5/2018,CUST1436,Card,Mastercard,357511,Success,Professional Services,Uganda,UGX,5516
TXN100170,9/10/2021,CUST4728,POS,,452740,Failed,Airtime/Data,Kenya,KES,
TXN100171,2/2/2023,CUST7229,Bank Transfer,,6690,Success,Retail,Nigeria,NGN,
TXN100172,8/28/2016,CUST8837,Card,Visa,287052,Success,Retail,South Africa,ZAR,283
TXN100173,11/22/2020,CUST6804,POS,,102729,Success,Airtime/Data,Nigeria,NGN,
TXN100174,7/31/2022,CUST5331,Wallet,,414449,Success,Retail,South Africa,ZAR,
TXN100175,11/3/2021,CUST5735,POS,,76641,Success,Food Delivery,Kenya,KES,
TXN100176,11/27/2022,CUST5480,Wallet,,469685,Success,Food Delivery,Nigeria,NGN,
TXN100177,3/24/2018,CUST6654,Wallet,,195583,Success,Transportation,Nigeria,NGN,
TXN100178,9/15/2025,CUST9700,Card,Visa,500000,Success,E-commerce,South Africa,ZAR,2199
TXN100179,7/13/2017,CUST9767,Card,Mastercard,59177,Success,Bills Payment,Ghana,GHS,5401
TXN100180,4/14/2023,CUST3880,POS,,166852,Success,Professional Services,South Africa,ZAR,
TXN100181,6/22/2025,CUST5742,POS,,48177,Success,Retail,Uganda,UGX,
TXN100182,10/31/2024,CUST4050,Card,Verve,500000,Success,Retail,Nigeria,NGN,1527
TXN100183,2/27/2015,CUST4164,Wallet,,500000,Success,Professional Services,South Africa,ZAR,
TXN100184,12/19/2016,CUST9442,USSD,,119330,Success,Transportation,Ghana,GHS,
TXN100185,9/5/2018,CUST8822,Wallet,,431505,Success,Bills Payment,Nigeria,NGN,
TXN100186,8/18/2018,CUST6095,Card,Mastercard,500000,Success,Airtime/Data,Uganda,UGX,1742
TXN100187,9/28/2022,CUST3188,POS,,324052,Success,Bills Payment,Nigeria,NGN,
TXN100188,5/12/2020,CUST9998,Wallet,,301711,Success,Transportation,Nigeria,NGN,
TXN100189,3/27/2025,CUST5054,USSD,,110750,Success,Bills Payment,Kenya,KES,
TXN100190,8/18/2022,CUST9008,POS,Mastercard,39090,Success,Bills Payment,South Africa,ZAR,2587
TXN100191,1/8/2016,CUST9409,Bank Transfer,,500000,Success,Bills Payment,South Africa,ZAR,
TXN100192,8/29/2019,CUST3948,Card,Mastercard,500000,Success,Transportation,Kenya,KES,8017
TXN100193,8/16/2023,CUST7135,USSD,,401067,Failed,Transportation,Nigeria,NGN,
TXN100194,12/29/2024,CUST9835,POS,,165618,Success,Retail,Nigeria,NGN,
TXN100195,6/28/2016,CUST4088,Card,Visa,171827,Success,Food Delivery,Ghana,GHS,6337
TXN100196,7/6/2025,CUST7868,Wallet,,500000,Success,Retail,South Africa,ZAR,
TXN100197,11/23/2021,CUST4836,POS,Visa,500000,Success,Food Delivery,South Africa,ZAR,8302
TXN100198,2/24/2024,CUST6253,USSD,,500000,Success,Professional Services,Uganda,UGX,
TXN100199,8/28/2017,CUST7688,Card,Verve,500000,Success,Transportation,Nigeria,NGN,568
TXN100200,9/3/2016,CUST2295,Card,Verve,410924,Success,Retail,Nigeria,NGN,2634
TXN100201,5/5/2025,CUST4120,Bank Transfer,,35156,Success,Professional Services,Nigeria,NGN,
TXN100202,7/31/2015,CUST2192,Wallet,,70517,Success,Professional Services,Nigeria,NGN,
TXN100203,2/9/2017,CUST8854,USSD,,500000,Success,Bills Payment,South Africa,ZAR,
TXN100204,5/5/2017,CUST9401,Card,Visa,372997,Success,Food Delivery,South Africa,ZAR,6785
TXN100205,11/24/2024,CUST4768,Card,Mastercard,3695,Success,Food Delivery,Kenya,KES,9964
TXN100206,4/5/2019,CUST1794,Card,Mastercard,42798,Reversed,Retail,Kenya,KES,801
TXN100207,7/28/2023,CUST1274,Card,Verve,435664,Success,E-commerce,Nigeria,NGN,7008
TXN100208,12/8/2020,CUST8054,USSD,,2029,Success,Airtime/Data,South Africa,ZAR,
TXN100209,1/16/2024,CUST5914,Card,Visa,70126,Reversed,Bills Payment,Uganda,UGX,6793
TXN100210,9/2/2022,CUST4463,Card,Visa,318279,Pending,Bills Payment,South Africa,ZAR,5918
TXN100211,2/8/2025,CUST5593,POS,,470926,Success,E-commerce,South Africa,ZAR,
TXN100212,1/31/2025,CUST6152,Wallet,,422176,Success,Professional Services,Kenya,KES,
TXN100213,3/6/2015,CUST7525,USSD,,101579,Failed,Retail,Uganda,UGX,
TXN100214,6/1/2025,CUST7499,Card,Visa,498166,Failed,Airtime/Data,Nigeria,NGN,3159
TXN100215,11/12/2025,CUST3527,Card,Mastercard,108329,Success,Transportation,South Africa,ZAR,4311
TXN100216,4/18/2023,CUST8286,Bank Transfer,,157453,Success,Food Delivery,Nigeria,NGN,
TXN100217,1/14/2019,CUST5781,Card,Visa,500000,Pending,E-commerce,South Africa,ZAR,1995
TXN100218,8/22/2019,CUST2260,Card,Verve,419509,Success,Transportation,Nigeria,NGN,1264
TXN100219,1/19/2019,CUST3230,Card,Verve,500000,Success,Professional Services,Nigeria,NGN,6575
TXN100220,5/15/2018,CUST1440,POS,Mastercard,428725,Reversed,Bills Payment,Nigeria,NGN,1939
TXN100221,9/8/2025,CUST7853,POS,Mastercard,336017,Success,Professional Services,South Africa,ZAR,9796
TXN100222,2/4/2021,CUST2392,POS,,39342,Failed,Airtime/Data,Nigeria,NGN,
TXN100223,3/23/2016,CUST1725,Wallet,,183366,Success,Retail,South Africa,ZAR,
TXN100224,4/25/2021,CUST6432,Wallet,,123264,Success,Professional Services,Uganda,UGX,
TXN100225,10/30/2025,CUST2712,Card,Visa,111880,Reversed,Transportation,South Africa,ZAR,9825
TXN100226,4/25/2018,CUST2885,POS,Verve,500000,Success,Retail,Nigeria,NGN,7514
TXN100227,4/3/2015,CUST4996,USSD,,199754,Success,Bills Payment,South Africa,ZAR,
TXN100228,10/14/2020,CUST5560,Card,Verve,500000,Failed,Bills Payment,Nigeria,NGN,9660
TXN100229,6/9/2023,CUST9796,Wallet,,398933,Success,Professional Services,Ghana,GHS,
TXN100230,2/4/2017,CUST2388,Card,Visa,500000,Pending,Airtime/Data,Nigeria,NGN,7924
TXN100231,7/15/2022,CUST5732,Card,Mastercard,279374,Success,Transportation,Nigeria,NGN,2782
TXN100232,7/28/2016,CUST6882,Wallet,,344062,Success,Professional Services,Nigeria,NGN,
TXN100233,9/3/2025,CUST3755,Card,Mastercard,271317,Success,Food Delivery,Nigeria,NGN,3404
TXN100234,10/3/2023,CUST9369,Wallet,,86885,Failed,Airtime/Data,Kenya,KES,
TXN100235,4/8/2016,CUST4438,Card,Mastercard,500000,Failed,Bills Payment,Kenya,KES,5171
TXN100236,2/3/2024,CUST8015,Wallet,,131830,Pending,Airtime/Data,South Africa,ZAR,
TXN100237,11/10/2016,CUST1972,Wallet,,9846,Failed,Professional Services,Ghana,GHS,
TXN100238,5/24/2021,CUST5055,Card,Verve,414787,Failed,Professional Services,Nigeria,NGN,2232
TXN100239,7/16/2023,CUST5402,Bank Transfer,,77973,Success,Retail,South Africa,ZAR,
TXN100240,1/15/2022,CUST2525,Bank Transfer,,500000,Success,Professional Services,Nigeria,NGN,
TXN100241,7/9/2019,CUST6533,Card,Mastercard,500000,Success,Food Delivery,Kenya,KES,6374
TXN100242,2/19/2021,CUST1793,USSD,,500000,Success,Food Delivery,Kenya,KES,
TXN100243,7/8/2015,CUST3588,Wallet,,184914,Success,E-commerce,Nigeria,NGN,
TXN100244,12/13/2019,CUST5945,POS,,6230,Reversed,Bills Payment,Kenya,KES,
TXN100245,10/13/2016,CUST8291,POS,Mastercard,500000,Success,Airtime/Data,South Africa,ZAR,3712
TXN100246,2/8/2015,CUST1138,Card,Visa,223575,Success,Airtime/Data,Nigeria,NGN,2622
TXN100247,11/4/2021,CUST3480,Bank Transfer,,500000,Failed,Retail,Ghana,GHS,
TXN100248,4/25/2025,CUST2646,Wallet,,500000,Pending,E-commerce,Nigeria,NGN,
TXN100249,7/27/2016,CUST6152,USSD,,500000,Success,Transportation,South Africa,ZAR,
TXN100250,11/15/2023,CUST4921,Card,Visa,139510,Failed,Professional Services,Nigeria,NGN,3640
TXN100251,7/20/2020,CUST5295,Card,Verve,194516,Success,E-commerce,Nigeria,NGN,2710
TXN100252,6/2/2017,CUST3545,Card,Mastercard,500000,Pending,Professional Services,Nigeria,NGN,1418
TXN100253,1/6/2021,CUST2083,USSD,,152458,Failed,Retail,Nigeria,NGN,
TXN100254,6/24/2018,CUST5005,Wallet,,74287,Failed,E-commerce,Ghana,GHS,
TXN100255,12/20/2015,CUST1480,Card,Visa,325494,Failed,E-commerce,Uganda,UGX,2524
TXN100256,10/4/2018,CUST4742,Card,Visa,500000,Success,E-commerce,South Africa,ZAR,2419
TXN100257,4/23/2023,CUST7108,Card,Visa,476330,Failed,Airtime/Data,Kenya,KES,3654
TXN100258,5/4/2016,CUST9083,POS,Visa,337644,Success,Food Delivery,Kenya,KES,4949
TXN100259,8/31/2023,CUST5016,Wallet,,40891,Success,Professional Services,South Africa,ZAR,
TXN100260,9/8/2016,CUST1157,Bank Transfer,,381812,Success,Food Delivery,Nigeria,NGN,
TXN100261,8/31/2025,CUST6038,Wallet,,500000,Success,Retail,Nigeria,NGN,
TXN100262,3/1/2016,CUST5584,POS,,60368,Reversed,Bills Payment,Nigeria,NGN,
TXN100263,1/17/2016,CUST6161,Card,Verve,292198,Success,Professional Services,Nigeria,NGN,623
TXN100264,5/21/2025,CUST8417,Wallet,,500000,Failed,Food Delivery,South Africa,ZAR,
TXN100265,1/18/2018,CUST3582,POS,Verve,500000,Pending,E-commerce,Nigeria,NGN,7474
TXN100266,1/21/2024,CUST4522,Wallet,,477629,Success,E-commerce,Ghana,GHS,
TXN100267,5/16/2024,CUST2989,Card,Visa,484915,Failed,Bills Payment,South Africa,ZAR,3171
TXN100268,2/18/2015,CUST7563,Wallet,,178196,Success,Bills Payment,Nigeria,NGN,
TXN100269,3/5/2019,CUST7990,POS,Mastercard,139024,Success,Transportation,Ghana,GHS,2966
TXN100270,12/8/2016,CUST1567,POS,,500000,Success,Bills Payment,Nigeria,NGN,
TXN100271,11/20/2021,CUST8859,Card,Mastercard,500000,Failed,Food Delivery,Ghana,GHS,3806
TXN100272,2/8/2021,CUST4951,Card,Mastercard,500000,Success,Retail,South Africa,ZAR,5932
TXN100273,12/27/2017,CUST4594,Wallet,,500000,Failed,Professional Services,Kenya,KES,
TXN100274,6/16/2021,CUST3846,Wallet,,286437,Success,Professional Services,South Africa,ZAR,
TXN100275,12/22/2016,CUST4584,Card,Verve,278473,Success,Airtime/Data,Nigeria,NGN,2701
TXN100276,3/23/2015,CUST6285,Card,Visa,500000,Success,Food Delivery,Kenya,KES,1569
TXN100277,7/12/2016,CUST8982,Wallet,,419887,Success,Retail,Uganda,UGX,
TXN100278,4/13/2022,CUST6846,Wallet,,484220,Success,Airtime/Data,Nigeria,NGN,
TXN100279,7/3/2017,CUST5825,Wallet,,500000,Success,Retail,Ghana,GHS,
TXN100280,6/5/2016,CUST3750,Card,Verve,500000,Success,Food Delivery,Nigeria,NGN,2513
